id,grn_date,supplier_code,supplier_name,item_ctag_code,item_ctag_name,item_code,item_name,um,stock_type_name,grn_number,purchase_order_number,department,department_name,indent_number,currency_code,exchange_rate,cost_project,cost_project_name,currency_name,challan_qty,rate,net_amount
6178,2025-02-08 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170149,HT Bolt 1,NOS,Revenue,GR25Y-00991,PR25Y-00838,DEP20,KALIKA ROLLING,IR25Y-00755,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,10,164.19,607.5
6175,2025-02-08 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170204,HT Nut 16,NOS,Revenue,GR25Y-00991,PR25Y-00838,DEP20,KALIKA ROLLING,IR25Y-00755,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,150,18.83,1045.06
6170,2025-01-08 00:00:00,CVA19,"Hinton, Medina and Hale",PM,Plant & Machinery,S0A010399,Air Condi,NOS,Capital,GR25Y-00985,PR25Y-00827,DEP20,KALIKA ROLLING,IR25Y-00748,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,39843.75,39843.75
6146,2025-01-08 00:00:00,CHE07,Fuentes-Wheeler,BL,SHEAR BLADES,S0M340008,Knives Sh,NOS,Revenue,GR25Y-00988,PR25Y-00024,DEP20,KALIKA ROLLING,IR25Y-00025,USD,     86.80000,MAN20,Project Down-sized asymmetric frame,US Dollar,16,6640.2,106243.2
7635,2025-06-30 00:00:00,CSA13,Huff-Kim,WI,winding Material,S0E190024,Winding C,KGS,Revenue,GR25Y-00735,PR25Y-00639,DEP27,Curator,IR25Y-00587,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,1.5,1094.91,1642.37
7634,2025-06-30 00:00:00,CSA13,Huff-Kim,WI,winding Material,S0E190015,Winding C,KGS,Revenue,GR25Y-00735,PR25Y-00639,DEP27,Curator,IR25Y-00587,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,.7,1094.91,766.44
7633,2025-06-30 00:00:00,CSA13,Huff-Kim,WI,winding Material,S0E190027,Lid Wire,FET,Revenue,GR25Y-00735,PR25Y-00639,DEP27,Curator,IR25Y-00587,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,5,30,150
6234,2025-07-29 00:00:00,CPR08,"Williams, Lawson and Ford",C0024,General Tool,S0M060166,Nylon Rou,NOS,Revenue,GR25Y-00964,PR25Y-00836,DEP24,Equality and diversity officer,IR25Y-00754,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,4,512,1638.4
6245,2025-07-30 00:00:00,CEN01,Newman and Sons,C0032,Chain & Sprocket,S0M140049,Simplex C,NOS,Revenue,GR25Y-00969,PR25Y-00829,DEP20,KALIKA ROLLING,IR25Y-00749,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,10,5911,26599.5
8213,2025-10-08 00:00:00,CKG01,Bailey-Cook,C0028,Hyd Hose Pipe,S0M100440,Hyd Hose,NOS,Revenue,GR25Y-01042,PR25Y-00907,DEP20,KALIKA ROLLING,IR25Y-00782,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,20,240,4800
