id,order_date,supplier_code,supplier_name,item_category_code,item_category_name,item_code,item_name,um,order_number,entered_by_name,indent_number,department,department_name,cost_project,cost_project_name,currency_code,currency_name,exchange_rate,stock_type_name,order_value,order_quantity,bal_qty,rate
13971,2025-07-28 00:00:00,CEN01,"Ellis, King and Robinson",C0069,Allen Bolt,S0M170045,Allen Bol,NOS,PR25Y-00838,YUVRAJ,IR25Y-00755,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,196.04,100,0,4.49
13950,2025-01-08 00:00:00,CSS02,Clark Group,C0041,Hyd Valve Spare,S0M230715,Pressure,NOS,PR25Y-00863,KRUSHNA,IR25Y-00785,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1257,1,0,1257
13994,2025-07-29 00:00:00,CPO05,Johnson Inc,C0007,Motor,S0E060783,Synchroni,NOS,PR25Y-00841,KRUSHNA,IR25Y-00758,DEP28,Press photographer,OFF02,Project Robust value-added hub,INR,INDIAN RUPEE,      1.00000,Revenue,4275.09,1,0,4500
14028,2025-07-29 00:00:00,CMU02,Davis-Jenkins,C0034,Pipe Line Fitting,S0M162514,Cpvc Fix,NOS,PR25Y-00842,YUVRAJ,IR25Y-00744,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,100,25,0,5
14030,2025-07-29 00:00:00,CMU02,Davis-Jenkins,SS04,Plastic Pipe & fitting,S0M160734,Cpvc Coup,NOS,PR25Y-00842,YUVRAJ,IR25Y-00744,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,182.52,20,0,16.9
14031,2025-07-29 00:00:00,CMU02,Davis-Jenkins,C0034,Pipe Line Fitting,S0M161448,Health Fa,NOS,PR25Y-00842,YUVRAJ,IR25Y-00744,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,550.03,1,0,550
14180,2025-07-31 00:00:00,CGL01,"Williams, Collins and Maldonado",C0034,Pipe Line Fitting,S0M161952,NRV Wafer,NOS,PR25Y-00859,KRUSHNA,IR25Y-00777,DEP31,Prison officer,SFI00,Project Intuitive systematic middleware,INR,INDIAN RUPEE,      1.00000,Revenue,5900,2,0,2500
24212,2025-10-18 00:00:00,CSC02,Carroll Group,C0027,General,S0M092636,GRID IRON,NOS,PR25Y-01470,PARMESHWAR TIDK,IR25Y-01328,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Revenue,11223.19,1,1,10260.18
24205,2025-10-18 00:00:00,CSC02,Carroll Group,C0027,General,S0M092635,RUBBER BU,NOS,PR25Y-01470,PARMESHWAR TIDK,IR25Y-01328,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Revenue,268.11,2,2,122.55
24201,2025-10-18 00:00:00,CSC02,Carroll Group,C0039,Bearing,S0M210944,Bearing B,NOS,PR25Y-01470,PARMESHWAR TIDK,IR25Y-01328,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Revenue,6453.23,1,1,5899.5
24202,2025-10-18 00:00:00,CSC02,Carroll Group,C0027,General,S0M091924,Straight,NOS,PR25Y-01470,PARMESHWAR TIDK,IR25Y-01328,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Capital,2345.23,1,1,2144
